"Código Infração","Descrição da Infração","Art.CTB/Decreto","Infrator","Valor Real(R$)","Categoria","Medida Administrativa"
"6556-3","Conduzir o veículo com a inscrição do chassi violado ou falsificado.","230, I","Proprietário","191,54","Gravíssima","remoção do veículo"
"6556-4","Conduzir o veículo com o selo violado ou falsificado.","230, I","Proprietário","191,54","Gravíssima","remoção do veículo"
"6556-5","Conduzir o veículo com placa a falsificada.","230, I","Proprietário","191,54","Gravíssima","remoção do veículo"
"6556-6","Conduzir o veículo com a placa violada.","230, I","Proprietário","191,54","Gravíssima","remoção do veículo"
"6556-7","Conduzir o veículo com qualquer outro elemento de identificação violado.","230, I","Proprietário","191,54","Gravíssima","remoção do veículo"
"6556-8","Conduzir o veículo com qualquer outro elemento de identificação falsificado.","230, I","Proprietário","191,54","Gravíssima","remoção do veículo"
"6564-1","Conduzir o veic transport passageiros em compartimento de carga salvo por motivo de força maior c/permissão da autoridade competente e na forma estab pelo CONTRAN.","230 , II","Proprietário","191,54","Gravíssima","remoção do veículo"
"6572-1","Conduzir o veículo com dispositivo anti-radar.","230 , III","Proprietário","191,54","Gravíssima","remoção do veículo"
"6580-1","Conduzir o veículo sem qualquer uma das placas de identificação.","230 , IV","Proprietário","191,54","Gravíssima","remoção do veículo"
"6599-1","Conduzir o veículo que não esteja registrado e devidamente licenciado.","230 , V ☒","Proprietário","191,54","Gravíssima","remoção do veículo"
"6599-2","Conduzir o veículo que não esteja devidamente licenciado.","230 , V","Proprietário","191,54","Gravíssima","remoção do veículo"
"6602-1","Conduzir o veículo com qualquer uma das placas de identificação sem condições de legibilidade.","230 , VI","Proprietário","191,54","Gravíssima","remoção do veículo"
"6602-2","Conduzir o veículo com qualquer uma das placas de identificação sem condições de visibilidade.","230 , VI","Proprietário","191,54","Gravíssima","remoção do veículo"
"6777-1","Transitar com o veículo danificando a via.","231, I","Condutor","191,54","Gravíssima","retenção do veículo"
"6777-2","Transitar com o veículo danificando as instalações da via.","231, I","Condutor","191,54","Gravíssima","retenção do veículo"
"6777-3","Transitar com o veículo danificando os equipamentos da via.","231, I","Condutor","191,54","Gravíssima","retenção do veículo"
"6785-1","Transitar com o veículo derramando, sobre a via carga que esteja transportando.","231 , II , a","Proprietário","191,54","Gravíssima","retenção do veículo"
"6785-2","Transitar com o veículo lançando sobre a via carga que esteja transportando.","231 , II , a","Proprietário","191,54","Gravíssima","retenção do veículo"
"6785-3","Transitar com o veículo arrastando sobre a via carga que esteja transportando.","231 , II , a","Proprietário","191,54","Gravíssima","retenção do veículo"
"6793-1","Transitar com the veículo derramando, sobre a via combustível que esteja utilizando.","231 , II , b","Proprietário","191,54","Gravíssima","retenção do veículo"
"6793-2","Transitar com o veículo lançando, sobre a via combustível que esteja utilizando.","231 , II , b","Proprietário","191,54","Gravíssima","retenção do veículo"
"6793-3","Transitar com o veículo derramando, sobre a via lubrificante que esteja utilizando.","231 , II , b","Proprietário","191,54","Gravíssima","retenção do veículo"
"6793-4","Transitar com o veículo lançando sobre a via lubrificante que esteja utilizando.","231 , II , b","Proprietário","191,54","Gravíssima","retenção do veículo"
"6807-1","Transitar com o veículo derramando, qualquer objeto que possa acarretar risco de acidente.","231, II , c","Proprietário","191,54","Gravíssima","retenção do veículo"
"6807-2","Transitar com o veículo lançando qualquer objeto que possa acarretar risco de acidente.","231, II , c","Proprietário","191,54","Gravíssima","retenção do veículo"
"6807-3","Transitar com o veículo arrastando, qualquer objeto que possa acarretar risco de acidente.","231, II , c","Proprietário","191,54","Gravíssima","retenção do veículo"
"6904-1","Transitar com o veículo excedendo a capacidade máxima de tração, em infração considerada gravíssima pelo CONTRAN.","231 , X ☒","Proprietário","191,54","Gravíssima","retenção do veículo"
"6939-1","Falsificar documento de habilitação e de identificação do veículo.","234","Proprietário","191,54","Gravíssima","remoção do veículo"
"6939-2","Adulterar documento de habilitação e de identificação do veículo.","234","Proprietário","191,54","Gravíssima","remoção do veículo"
"6971-1","Recusar-se a entregar à autor de trans mediante recibo os doc de habilitação de registro de licenciam de veic e outros exigidos por lei p/averiguação de sua autenticidade.","238","Proprietário","191,54","Gravíssima","remoção do veículo"
"6971-2","Recusar-se a entregar ao agente da autor de trânsito mediante recibo oc de habilit de registro de licenc veic e outros exigidos por lei p/averiguação de sua autenticidade.","238","Proprietário","191,54","Gravíssima","remoção do veículo"
"6980-1","Retirar do local veículo legalmente retido para regularização, sem permissão da autoridade competente.","239","Proprietário","191,54","Gravíssima","remoção do veículo"
"6980-2","Retirar do local veículo legalmente retido para regularização, sem permissão do agente da autoridade de trânsito.","239","Proprietário","191,54","Gravíssima","remoção do veículo"
"7013-1","Fazer falsa declaração de domicílio para fins de registro.","242","Proprietário","191,54","Gravíssima",""
"7013-2","Fazer falsa declaração de domicílio para fins de licenciamento.","242","Proprietário","191,54","Gravíssima",""
"7013-3","Fazer falsa declaração de domicílio para fins de habilitação.","242","Proprietário","191,54","Gravíssima",""
"7030-1","Conduzir motocicleta sem usar capacete de seg com viseira ou óculos de proteção e vestuário de acordo com as normas e especificações aprovadas pelo CONTRAN.","244, I","Condutor","191,54","Gravíssima","retenção do veículo"
"7030-2","Conduzir motoneta, sem usar capacete de segurança com viseira ou óculos de proteção e vestuário de acordo com as normas e especificações aprovadas pelo CONTRAN.","244, I","Condutor","191,54","Gravíssima","retenção do veículo"
"7030-3","Conduzir ciclomotor, sem usar capacete de segurança com viseira ou óculos de proteção e vestuário de acordo com as normas e especificações aprovadas pelo CONTRAN.","244, I","Condutor","191,54","Gravíssima","retenção do veículo"
"7048-1","Conduzir motocicleta, transportando passageiro sem o capacete de segurança com viseira ou óculos de proteção.","244 , II","Condutor","191,54","Gravíssima","retenção do veículo"
"7048-2","Conduzir motoneta, transportando passageiro sem o capacete de segurança com viseira ou óculos de proteção.","244 , II","Condutor","191,54","Gravíssima","retenção do veículo"
"7048-3","Conduzir ciclomotor, transportando passageiro sem o capacete de segurança com viseira ou óculos de proteção.","244 , II","Condutor","191,54","Gravíssima","retenção do veículo"
"7048-4","Conduzir motocicleta, transportando passageiro fora do assento suplementar colocado atrás do condutor ou em carro lateral.","244 , II","Condutor","191,54","Gravíssima","retenção do veículo"
"7048-5","Conduzir motoneta, transportando passageiro fora do assento suplementar colocado atrás do condutor ou em carro lateral.","244, II","Condutor","191,54","Gravíssima","retenção do veículo"
"7048-6","Conduzir ciclomotor, transportando passageiro fora do assento suplementar colocado atrás do condutor ou em carro lateral.","244 , II","Condutor","191,54","Gravíssima","retenção do veículo"
"7056-1","Conduzir motocicleta, fazendo malabarismo.","244 , III","Condutor","191,54","Gravíssima","retenção do veículo"
"7056-2","Conduzir motocicleta, equilibrando-se apenas em uma roda.","244 , III","Condutor","191,54","Gravíssima","retenção do veículo"
